"","geoid","county"
"1","06001","Alameda"
"2","06003","Alpine"
"3","06007","Butte"
"4","06011","Colusa"
"5","06013","Contra Costa"
"6","06017","El Dorado"
"7","06019","Fresno"
"8","06023","Humboldt"
"9","06025","Imperial"
"10","06029","Kern"
"11","06031","Kings"
"12","06035","Lassen"
"13","06039","Madera"
"14","06041","Marin"
"15","06043","Mariposa"
"16","06045","Mendocino"
"17","06047","Merced"
"18","06049","Modoc"
"19","06053","Monterey"
"20","06055","Napa"
"21","06057","Nevada"
"22","06059","Orange"
"23","06061","Placer"
"24","06063","Plumas"
"25","06065","Riverside"
"26","06067","Sacramento"
"27","06069","San Benito"
"28","06071","San Bernardino"
"29","06073","San Diego"
"30","06075","San Francisco"
"31","06077","San Joaquin"
"32","06079","San Luis Obispo"
"33","06081","San Mateo"
"34","06085","Santa Clara"
"35","06087","Santa Cruz"
"36","06091","Sierra"
"37","06095","Solano"
"38","06097","Sonoma"
"39","06101","Sutter"
"40","06103","Tehama"
"41","06107","Tulare"
"42","06109","Tuolumne"
"43","06113","Yolo"
"44","06115","Yuba"
"45","06051","Mono"
"46","06005","Amador"
"47","06009","Calaveras"
"48","06015","Del Norte"
"49","06021","Glenn"
"50","06027","Inyo"
"51","06033","Lake"
"52","06037","Los Angeles"
"53","06083","Santa Barbara"
"54","06089","Shasta"
"55","06093","Siskiyou"
"56","06099","Stanislaus"
"57","06105","Trinity"
"58","06111","Ventura"
